Dataset Name,model,n_estimators,accuracy,acc_std_dev,f1,f1_std_dev,g_mean,g_mean_std_dev,oracle_mean,oracle_std_dev
ecoli3,AdaBoost,40,0.9165496049165934,0.022567409832560448,0.48484848484848475,0.2737355100760294,0.5983253900613061,0.32309082312708653,1.0,0.0
segment0,AdaBoost,40,0.9952324609591422,0.002127290811831832,0.9832271355548101,0.0075814758623266604,0.9895682548598581,0.008326741102899566,1.0,0.0
vehicle2,AdaBoost,40,0.9539088061260006,0.008646014618865298,0.912759955102133,0.01633724380241107,0.9477982908303229,0.013009041549903321,1.0,0.0
yeast3,AdaBoost,40,0.9204863954863954,0.014214305243143089,0.596990182692807,0.10441279486299715,0.726057025731484,0.10036701164756338,0.997979797979798,0.004040404040404022
glass6,AdaBoost,40,0.9390919158361019,0.03522917767571843,0.7521212121212122,0.15161693550903105,0.8313388480004251,0.10760307852486797,0.9765227021040974,0.021051463259719964
ecoli3,AdaBoost,50,0.9165496049165934,0.022567409832560448,0.48484848484848475,0.2737355100760294,0.5983253900613061,0.32309082312708653,1.0,0.0
segment0,AdaBoost,50,0.9952324609591422,0.002127290811831832,0.9832271355548101,0.0075814758623266604,0.9895682548598581,0.008326741102899566,1.0,0.0
vehicle2,AdaBoost,50,0.9539088061260006,0.008646014618865298,0.912759955102133,0.01633724380241107,0.9477982908303229,0.013009041549903321,1.0,0.0
yeast3,AdaBoost,50,0.9204863954863954,0.014214305243143089,0.596990182692807,0.10441279486299715,0.726057025731484,0.10036701164756338,0.997979797979798,0.004040404040404022
glass6,AdaBoost,50,0.9390919158361019,0.03522917767571843,0.7521212121212122,0.15161693550903105,0.8313388480004251,0.10760307852486797,0.9765227021040974,0.021051463259719964
ecoli3,AdaBoost,60,0.9165496049165934,0.022567409832560448,0.48484848484848475,0.2737355100760294,0.5983253900613061,0.32309082312708653,1.0,0.0
segment0,AdaBoost,60,0.9952324609591422,0.002127290811831832,0.9832271355548101,0.0075814758623266604,0.9895682548598581,0.008326741102899566,1.0,0.0
vehicle2,AdaBoost,60,0.9539088061260006,0.008646014618865298,0.912759955102133,0.01633724380241107,0.9477982908303229,0.013009041549903321,1.0,0.0
